"skill_name","function","repo_path","package_status","target_user","business_outcome","zapier_mcp_role","zapier_sdk_role","recommended_connections","approval_gates"
"Mega Campaign Generator","Marketing / Demand Gen","skills/marketing/mega-campaign-generator","ready-for-adaptation","Demand generation and campaign marketers","Turns campaign context into a review-ready launch package, including positioning, audiences, messages, and activation ideas.","Read approved docs, CRM context, campaign notes, chat context, and reference assets; draft messages for review.","Optional campaign request intake, scheduled package generation, review routing, and tracker logging.","Drive or Docs; CRM; Sheets or Tables; chat or collaboration tools.","Human approval before outreach drafts become sends, CRM writes, public posts, or customer claims."
"Sales Sequence Builder","Sales / RevOps","skills/sales-revops/sales-sequence-builder","ready-for-adaptation","Sales and RevOps teams","Creates source-backed outbound or follow-up sequences tailored to account context, persona, and trigger signals.","Read CRM, approved campaign docs, account notes, and message context; draft emails or tasks for review.","Optional sequence request intake, task creation, and approved draft logging.","CRM; Gmail or Outlook; Docs; chat or collaboration tools.","Rep approval before email drafts, CRM tasks, sequence enrollment, or sends."
"Customer Deck Builder","Sales / Customer Success","skills/sales-revops/customer-deck-builder","source-backed-v1","Sales, customer success, onboarding, and RevOps teams","Creates customer-facing decks for discovery, QBR, renewal, expansion, executive briefing, onboarding, and follow-up conversations.","Read approved CRM, account, usage, meeting, and document context; generate and poll Gamma presentations.","Optional deck request intake, data snapshot logging, approval routing, and handoff tracking.","Zapier MCP; Gamma; CRM; approved account-data source; approved usage source; Docs or meeting notes.","Human approval before generating the final deck, sharing externally, using customer proof, or making roadmap and renewal claims."
"Named Account Trigger Radar","Sales / ABM / RevOps","skills/sales-revops/named-account-trigger-radar","ready-for-adaptation","ABM, sales, and RevOps teams","Ranks target accounts by why-now signals and recommends the next best seller action.","Read CRM, account lists, approved account signals, public research, and collaboration context.","Optional scheduled watchlist generation and account-priority logging.","CRM; Sheets or Tables; chat or collaboration tools; approved research sources.","Human approval before owner notifications, CRM updates, or outbound recommendations are actioned."
"AI Audit Account Report","Sales / Midmarket","skills/sales-revops/mmpe-ai-audit-account-report","ready-for-adaptation","Midmarket and expansion sales teams","Builds account-level AI adoption reports that help reps identify expansion or consultation opportunities.","Read CRM, approved usage summaries, account context, and contact data.","Recurring account report generation, rep-review routing, and approved follow-up logging.","CRM; usage report source; Sheets or Tables; optional video or asset tool.","Rep approval before customer-facing messages, reports, video scripts, or CRM writes."
"Cross-CRM Opportunity Sync","Sales / RevOps","skills/sales-revops/cross-crm-opportunity-sync","source-backed-v1","RevOps, Sales Ops, MIS, and business-unit operators","Keeps opportunities, accounts, and customer records in sync across multiple CRMs while preserving attribution, visibility, commission accuracy, and governance.","Read and write approved CRM fields, call an LLM for matching and enrichment, look up master customer records, and route rep notifications.","Durable workflow execution, retries, logs, schedules, sandbox-to-production promotion, audit trails, and reconciliation logic.","Two or more CRMs; master customer record; LLM connection; optional warehouse, team chat, finance or commission system.","Sandbox-to-production approval before production writes; human review for fuzzy matches, revenue-touching workflows, and customer-data workflows."
"Support Ticket Triage Agent","Customer Support","skills/customer-support/support-ticket-triage","source-backed-v1","Support leaders, support ops, and technical support reps","Cuts ticket research time by using Zapier MCP to pull ticket context, search issue trackers and knowledge bases in parallel, classify issues, and produce rep-ready next actions.","Read helpdesk tickets, comments, requester details, issue tracker results, feature backlog items, knowledge-base docs, and optional CRM context.","Optional triggered workflows for tagging, escalation packets, similar-ticket linking, SLA warnings, follow-up reminders, regression alerts, and triage digests.","Helpdesk; issue tracker; knowledge base; feature backlog; optional CRM, source control, and observability.","Rep approval before customer replies, ticket status/tag changes, bug creation, escalation packets, or broad team alerts."
"MCP Urgent Caller Triage For Law Firms","Legal Operations","skills/legal-operations/mcp-urgent-caller-triage","source-backed-v1","Law firm operations, client intake, support, and legal ops teams","Prioritizes inbound callers by urgency, enriches callback work with approved case context, and routes a masked human-approved callback list.","Read call transcripts, search legal client and matter records, and gather approved status and activity context for callback preparation.","Optional scheduled transcript polling, callback dashboard updates, alert routing, retry handling, and KPI logging.","Phone or VoIP transcript source; Clio or legal case management; LLM; Slack, email, or Google Sheets.","Human review before client callbacks, client-facing messages, record updates, billing details, or broad team alerts."
"Inbound Lead Audit + CX Map","GTM Ops / Marketing Ops","skills/gtm-ops/inbound-lead-audit-cx-map","ready-for-adaptation","Marketing Ops and GTM Ops teams","Audits lead handling and maps the customer experience from form fill to follow-up.","Read CRM, routing evidence, meeting status, chat context, and tracker rows.","Optional scheduled audits, tracker updates, and issue logging.","CRM; Sheets or Tables; scheduler; chat or collaboration tools.","Ops review before source-of-truth writes, rep escalations, or public/channel-facing summaries."
"No Lead Left Behind Lead Treatment Audit","GTM Ops / Marketing Ops","skills/gtm-ops/no-lead-left-behind-lead-treatment-audit","advanced-pattern","Marketing Ops and SDR operations teams","Finds missed, delayed, or low-quality lead follow-up and turns gaps into owner-ready actions.","Read CRM, chat context, Sheets or Tables, meeting evidence, and outreach history.","Daily audit automation, state tracking, follow-up queue creation, and approval-routed summaries.","CRM; Sheets or Tables; scheduler; chat or collaboration tools; meeting system.","Human review before posting summaries, writing tracker state, or asking owners to act."
